   TIME     MODE     Q              P     KINETIC      POTENTIAL          TOTAL
   69.5000  L 1      0.337380  0.113283   0.00757      -56.52844      -56.52087
   69.7500  L 1      0.365428  0.111084   0.00721      -56.52809      -56.52087
   70.0000  L 1      0.392911  0.108763   0.00682      -56.52769      -56.52087
   70.2500  L 1      0.419798  0.106320   0.00640      -56.52727      -56.52087
   70.5000  L 1      0.446061  0.103763   0.00598      -56.52685      -56.52087
   70.7500  L 1      0.471670  0.101100   0.00557      -56.52644      -56.52087
   71.0000  L 1      0.496602  0.098345   0.00519      -56.52607      -56.52087
   71.2500  L 1      0.520836  0.095517   0.00487      -56.52574      -56.52087
   71.5000  L 1      0.544356  0.092637   0.00460      -56.52547      -56.52087
   71.7500  L 1      0.567152  0.089731   0.00440      -56.52528      -56.52087
   72.0000  L 1      0.589221  0.086825   0.00427      -56.52515      -56.52087
   72.2500  L 1      0.610568  0.083953   0.00421      -56.52508      -56.52087
   72.5000  L 1      0.631203  0.081146   0.00420      -56.52507      -56.52087
   72.7500  L 1      0.651149  0.078441   0.00422      -56.52510      -56.52087
   73.0000  L 1      0.670435  0.075872   0.00427      -56.52515      -56.52087
   73.2500  L 1      0.689099  0.073477   0.00432      -56.52520      -56.52087
   73.5000  L 1      0.707190  0.071291   0.00436      -56.52523      -56.52087
   73.7500  L 1      0.724764  0.069348   0.00435      -56.52522      -56.52087
   74.0000  L 1      0.741886  0.067678   0.00430      -56.52517      -56.52087
   74.2500  L 1      0.758627  0.066307   0.00419      -56.52506      -56.52087
   74.5000  L 1      0.775065  0.065255   0.00402      -56.52490      -56.52087
   74.7500  L 1      0.791280  0.064535   0.00381      -56.52468      -56.52087
   75.0000  L 1      0.807358  0.064150   0.00356      -56.52443      -56.52087
   75.2500  L 1      0.823381  0.064093   0.00329      -56.52416      -56.52087
   75.5000  L 1      0.839428  0.064347   0.00303      -56.52391      -56.52087
   75.7500  L 1      0.855576  0.064882   0.00281      -56.52368      -56.52087
   76.0000  L 1      0.871888  0.065661   0.00263      -56.52351      -56.52087
   76.2500  L 1      0.888421  0.066634   0.00253      -56.52340      -56.52087
   76.5000  L 1      0.905216  0.067747   0.00250      -56.52337      -56.52087
   76.7500  L 1      0.922301  0.068941   0.00254      -56.52341      -56.52087
   77.0000  L 1      0.939689  0.070155   0.00264      -56.52351      -56.52087
   77.2500  L 1      0.957375  0.071328   0.00278      -56.52365      -56.52087
   77.5000  L 1      0.975344  0.072403   0.00295      -56.52382      -56.52087
   77.7500  L 1      0.993564  0.073328   0.00311      -56.52398      -56.52087
   78.0000  L 1      1.011991  0.074059   0.00324      -56.52412      -56.52087
   78.2500  L 1      1.030573  0.074561   0.00334      -56.52421      -56.52087
   78.5000  L 1      1.049249  0.074811   0.00337      -56.52425      -56.52087
   78.7500  L 1      1.067955  0.074793   0.00335      -56.52423      -56.52087
   79.0000  L 1      1.086622  0.074506   0.00328      -56.52415      -56.52087
   79.2500  L 1      1.105185  0.073958   0.00316      -56.52403      -56.52087
   79.5000  L 1      1.123579  0.073163   0.00301      -56.52388      -56.52087
   79.7500  L 1      1.141747  0.072149   0.00285      -56.52373      -56.52087
   80.0000  L 1      1.159637  0.070946   0.00270      -56.52358      -56.52087
   80.2500  L 1      1.177207  0.069596   0.00258      -56.52346      -56.52087
   80.5000  L 1      1.194426  0.068141   0.00251      -56.52338      -56.52087
   80.7500  L 1      1.211273  0.066632   0.00249      -56.52337      -56.52087
   81.0000  L 1      1.227741  0.065121   0.00254      -56.52341      -56.52087
   81.2500  L 1      1.243838  0.063664   0.00266      -56.52353      -56.52087
   81.5000  L 1      1.259583  0.062319   0.00284      -56.52371      -56.52087
   81.7500  L 1      1.275011  0.061144   0.00307      -56.52394      -56.52087
   82.0000  L 1      1.290174  0.060200   0.00334      -56.52421      -56.52087
   82.2500  L 1      1.305135  0.059543   0.00363      -56.52450      -56.52087
   82.5000  L 1      1.319974  0.059232   0.00393      -56.52480      -56.52087
   82.7500  L 1      1.334783  0.059318   0.00421      -56.52508      -56.52087
   83.0000  L 1      1.349669  0.059848   0.00445      -56.52533      -56.52087
   83.2500  L 1      1.364746  0.060861   0.00465      -56.52553      -56.52087
   83.5000  L 1      1.380141  0.062388   0.00481      -56.52568      -56.52087
   83.7500  L 1      1.395983  0.064445   0.00491      -56.52578      -56.52087
   84.0000  L 1      1.412406  0.067035   0.00497      -56.52584      -56.52087
   84.2500  L 1      1.429542  0.070144   0.00500      -56.52587      -56.52087
   84.5000  L 1      1.447517  0.073738   0.00503      -56.52590      -56.52087
   84.7500  L 1      1.466446  0.077769   0.00506      -56.52593      -56.52087
   85.0000  L 1      1.486430  0.082165   0.00513      -56.52600      -56.52087
   85.2500  L 1      1.507551  0.086842   0.00525      -56.52613      -56.52087
   85.5000  L 1      1.529866  0.091700   0.00544      -56.52631      -56.52087
   85.7500  L 1      1.553406  0.096627   0.00570      -56.52657      -56.52087
   86.0000  L 1      1.578176  0.101509   0.00602      -56.52689      -56.52087
   86.2500  L 1      1.604148  0.106228   0.00639      -56.52726      -56.52087
   86.5000  L 1      1.631267  0.110668   0.00679      -56.52766      -56.52087
   86.7500  L 1      1.659450  0.114723   0.00720      -56.52807      -56.52087
   87.0000  L 1      1.688589  0.118297   0.00760      -56.52847      -56.52087
   87.2500  L 1      1.718552  0.121308   0.00796      -56.52883      -56.52087
   87.5000  L 1      1.749190  0.123692   0.00826      -56.52914      -56.52087
   87.7500  L 1      1.780341  0.125400   0.00850      -56.52937      -56.52087
   88.0000  L 1      1.811831  0.126403   0.00866      -56.52954      -56.52087
   88.2500  L 1      1.843482  0.126687   0.00876      -56.52963      -56.52087
   88.5000  L 1      1.875115  0.126256   0.00878      -56.52966      -56.52087
   88.7500  L 1      1.906552  0.125126   0.00876      -56.52963      -56.52087
   89.0000  L 1      1.937622  0.123327   0.00869      -56.52956      -56.52087
   89.2500  L 1      1.968163  0.120899   0.00860      -56.52947      -56.52087
   89.5000  L 1      1.998023  0.117893   0.00850      -56.52937      -56.52087
   89.7500  L 1      2.027066  0.114366   0.00841      -56.52928      -56.52087
   90.0000  L 1      2.055168  0.110382   0.00833      -56.52921      -56.52087
   90.2500  L 1      2.082224  0.106009   0.00828      -56.52915      -56.52087
   90.5000  L 1      2.108147  0.101323   0.00825      -56.52913      -56.52087
   90.7500  L 1      2.132866  0.096399   0.00825      -56.52912      -56.52087
   91.0000  L 1      2.156333  0.091316   0.00825      -56.52913      -56.52087
   91.2500  L 1      2.178517  0.086154   0.00827      -56.52914      -56.52087
   91.5000  L 1      2.199409  0.080995   0.00827      -56.52914      -56.52087
   91.7500  L 1      2.219021  0.075917   0.00824      -56.52911      -56.52087
